Drawing Date	Winning Numbers	Prize
1/1/2022	6 12 39 48 50 7 2	      500000000
1/3/2022	2 13 32 33 48 22 2	540000000
1/5/2022	6 14 25 33 46 17 2	630000000
1/8/2022	20 21 36 60 65 13 10	20000000
1/10/2022	14 17 18 21 27 9 2	27000000
1/12/2022	12 21 22 30 33 24 4	38000000
1/15/2022	3 18 37 51 59 13 2	48000000
1/17/2022	9 24 35 46 65 22 2	53000000
1/19/2022	11 15 43 55 61 10 3	62000000
1/22/2022	8 14 33 36 67 17 2	76000000
1/24/2022	11 29 30 47 53 16 3	82000000
1/26/2022	4 11 38 49 69 16 3	91000000
1/29/2022	2 15 38 54 65 11 4	104000000
1/31/2022	10 15 51 61 69 14 3	113000000
2/2/2022	18 29 33 62 63 15 3	123000000
2/5/2022	5 16 27 39 61 24 2	137000000
2/7/2022	5 15 38 47 65 10 3	147000000
2/9/2022	2 17 33 51 63 26 2	158000000
2/12/2022	8 10 21 41 62 7 3	      172000000
2/14/2022	16 25 27 49 55 17 3	183000000
2/16/2022	22 30 40 42 48 16 2	20000000
2/19/2022	3 10 15 33 42 11 2	31000000
2/21/2022	2 36 37 45 69 3 2	      37000000
2/23/2022	6 17 21 35 64 18 2	45000000
2/26/2022	15 32 36 48 64 19 3	58000000
2/28/2022	7 21 39 47 55 19 2	65000000
3/2/2022	19 37 48 61 63 12 2	73000000
3/5/2022	8 23 37 52 63 13 2	85000000
3/7/2022	10 43 55 59 67 2 3	90000000
3/9/2022	13 22 34 51 67 10 2	99000000
3/12/2022	19 20 37 39 61 8 2	112000000
3/14/2022	21 28 32 44 49 6 3	124000000
3/16/2022	3 28 34 35 58 17 2	133000000
3/19/2022	8 9 18 48 52 6 2	      147000000
3/21/2022	1 15 26 63 65 16 2	156000000
