time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-03-25T04:35:38.761Z,5.6943,-82.6918,10,4.7,mb,,169,4.505,0.73,us,us6000dw8j,2021-03-25T04:54:03.040Z,"259 km S of Punta de Burica, Panama",earthquake,5.5,1.9,0.058,91,reviewed,us,us
2021-03-25T03:57:21.324Z,-26.1143,178.4323,598.41,5.5,mww,,54,4.487,0.87,us,us6000dw8i,2021-03-25T04:11:02.362Z,south of the Fiji Islands,earthquake,11.6,9.1,0.08,15,reviewed,us,us
2021-03-25T03:40:36.069Z,-28.9303,-176.6033,10,4.7,mb,,162,1.202,0.67,us,us6000dw8f,2021-03-25T03:52:54.040Z,Kermadec Islands region,earthquake,7.7,2,0.133,17,reviewed,us,us
2021-03-25T02:49:48.530Z,19.169,-155.469,35.4,2.75,md,53,154,,0.11,hv,hv72398317,2021-03-25T04:15:29.040Z,"3 km SSE of Pāhala, Hawaii",earthquake,0.49,0.6,0.135017764,24,reviewed,hv,hv
2021-03-25T02:37:14.755Z,36.8547,5.1463,10,4.4,mb,,81,3.114,0.91,us,us6000dw83,2021-03-25T05:00:31.754Z,"12 km NNE of Bejaïa, Algeria",earthquake,2.5,2,0.219,6,reviewed,us,us
2021-03-25T02:19:46.825Z,41.7814,133.342,453.43,4,mb,,58,2.613,0.72,us,us6000dw7y,2021-03-25T03:46:57.040Z,"107 km SSE of Vrangel’, Russia",earthquake,15.1,11.2,0.15,12,reviewed,us,us
2021-03-25T02:18:48.430Z,-30.3703,-71.6796,35,4.8,mb,,167,0.304,0.92,us,us6000dw7x,2021-03-25T04:16:22.830Z,"52 km WNW of Ovalle, Chile",earthquake,2.5,2,0.209,7,reviewed,us,us
2021-03-25T01:57:28.777Z,6.8604,-72.9799,143.55,4.4,mb,,78,0.967,0.44,us,us6000dw7r,2021-03-25T04:28:05.040Z,"11 km N of Cepitá, Colombia",earthquake,8.3,8.4,0.041,175,reviewed,us,us
2021-03-25T01:19:24.450Z,17.9708,-66.9631,13,3.12,md,23,181,0.0811,0.13,pr,pr2021084001,2021-03-25T03:58:25.040Z,"5 km WSW of Fuig, Puerto Rico",earthquake,0.48,0.3,0.35,21,reviewed,pr,pr
2021-03-25T00:43:59.533Z,43.1818,-29.0913,10,4.7,mb,,68,6.056,0.59,us,us6000dw7f,2021-03-25T01:01:21.040Z,northern Mid-Atlantic Ridge,earthquake,9.1,1.9,0.047,138,reviewed,us,us
2021-03-24T23:50:56.978Z,38.3348,-113.0791,5.35,2.5,ml,,74,0.036,0.67,us,us6000dw76,2021-03-25T00:23:03.040Z,"9 km SW of Milford, Utah",earthquake,2.6,5.7,0.049,54,reviewed,us,us
2021-03-24T23:29:46.690Z,36.8703346,-121.3058319,8.19,2.82,md,57,64,0.1486,0.1,nc,nc73539561,2021-03-25T02:11:05.538Z,"8km NE of Ridgemark, CA",earthquake,0.18,0.45,0.12,82,automatic,nc,nc
2021-03-24T23:23:53.759Z,36.8314,5.2626,10,4.1,mb,,72,3.158,0.69,us,us6000dw71,2021-03-25T03:37:26.234Z,"17 km ENE of Bejaïa, Algeria",earthquake,6,2,0.26,4,reviewed,us,us
2021-03-24T23:07:08.760Z,37.0026665,-121.4645004,7.79,3.33,ml,76,36,0.02776,0.21,nc,nc73539551,2021-03-25T02:34:35.268Z,"9km E of Gilroy, CA",earthquake,0.25,0.72,0.168,26,automatic,nc,nc
2021-03-24T22:27:30.491Z,44.274,-115.1824,18.26,2.9,ml,,45,0.165,0.47,us,us6000dw6t,2021-03-25T04:31:26.250Z,"20 km WNW of Stanley, Idaho",earthquake,3.7,9.9,0.052,48,reviewed,us,us
2021-03-24T21:23:03.954Z,1.129,120.934,574.56,4.9,mb,,55,0.153,0.82,us,us6000dw6i,2021-03-24T21:39:11.040Z,"245 km WNW of Gorontalo, Indonesia",earthquake,10.3,8.1,0.064,77,reviewed,us,us
2021-03-24T19:57:53.480Z,48.6725,-123.3306667,19.63,2.84,ml,25,85,0.08124,0.27,uw,uw61719766,2021-03-25T04:25:25.529Z,"6 km E of North Saanich, Canada",earthquake,0.41,0.76,0.201910807,10,reviewed,uw,uw
2021-03-24T19:56:35.750Z,17.9388,-66.9321,12,2.67,md,10,216,0.1162,0.08,pr,pr2021083002,2021-03-24T20:28:04.231Z,"4 km SW of Guánica, Puerto Rico",earthquake,0.47,0.41,0.08,5,reviewed,pr,pr
2021-03-24T19:34:52.570Z,18.1403,-68.448,92,3.68,md,20,183,0.3795,0.28,pr,pr2021083003,2021-03-24T20:35:12.462Z,"31 km SSE of Boca de Yuma, Dominican Republic",earthquake,0.92,0.83,0.15,16,reviewed,pr,pr
2021-03-24T18:27:27.310Z,19.235,-155.4043333,31.84,2.94,md,51,137,,0.13,hv,hv72397967,2021-03-25T02:56:27.215Z,"8 km ENE of Pāhala, Hawaii",earthquake,0.5,0.63,0.146672136,25,reviewed,hv,hv
2021-03-24T17:35:58.739Z,-0.1316,124.7043,61.18,4.2,mb,,48,2.133,1.12,us,us6000dw3z,2021-03-24T21:44:59.040Z,"160 km S of Tomohon, Indonesia",earthquake,7.8,8.6,0.132,16,reviewed,us,us
2021-03-24T16:45:34.270Z,39.2498333,-123.4771667,7.29,2.77,md,49,41,0.1167,0.13,nc,nc73539421,2021-03-24T22:33:27.719Z,"21km SSW of Willits, CA",earthquake,0.14,0.47,0.159,46,reviewed,nc,nc
2021-03-24T15:55:56.195Z,-24.0871,-67.1084,225.46,3.9,ml,,96,1.497,0.71,us,us6000dw21,2021-03-24T23:13:44.773Z,"81 km W of San Antonio de los Cobres, Argentina",earthquake,9.6,18.4,0.066,30,reviewed,us,us
2021-03-24T15:41:13.980Z,39.2448333,-123.4743333,8.2,3.98,mw,63,40,0.1116,0.16,nc,nc73539406,2021-03-25T02:32:30.976Z,"21km SSW of Willits, CA",earthquake,0.12,0.37,,3,reviewed,nc,nc
2021-03-24T14:42:54.422Z,51.8713,179.9821,91.9,3.3,ml,,,,0.4,ak,ak0213ti742d,2021-03-24T19:43:20.845Z,"233 km W of Adak, Alaska",earthquake,,1.7,,,reviewed,ak,ak
2021-03-24T12:57:07.420Z,38.3235,-113.0793333,0.17,2.62,ml,21,94,0.04673,0.16,uu,uu60430167,2021-03-24T13:13:48.840Z,"10 km SW of Milford, Utah",earthquake,0.47,1.3,0.225,12,reviewed,uu,uu
2021-03-24T11:33:48.821Z,-3.3031,28.3177,10,4.6,mb,,87,3.612,0.61,us,us6000dw0n,2021-03-24T12:10:28.040Z,"91 km W of Uvira, Democratic Republic of the Congo",earthquake,9.6,1.9,0.105,28,reviewed,us,us
2021-03-24T10:58:45.490Z,-21.9577,-178.2223,399.67,4.4,mb,,104,5.463,0.55,us,us6000dw0k,2021-03-24T13:32:54.040Z,Fiji region,earthquake,12.7,6.8,0.059,82,reviewed,us,us
